"","grouping"
"9512",0
"9963",1
"9965",1
"9975",1
"9979",1
"9997",1
"10015",1
"10034",1
"10044",1
"10047",1
"10485",0
"10502",0
"10517",0
"10526",0
"10722",0
"10735",0
"11323",0
"11592",0
"11609",0
"12166",0
"12182",0
"13624",1
"13978",1
"14029",1
"14040",1
"14046",1
"14056",1
"14058",1
"14783",0
"15247",0
"15250",0
"15253",0
"15285",0
"15603",1
"16273",0
"16298",0
"16309",0
"16318",0
"16323",0
"16356",1
"16441",1
"16463",1
"16488",1
"16561",0
"16586",0
"16590",0
"16604",0
"16610",0
"16758",1
"16760",1
"16774",1
"16888",0
"16895",0
"17124",1
"17286",0
"17327",1
"17922",1
"18101",1
"18263",1
"18324",1
"18706",0
"18739",0
"19083",0
"19108",0
"19601",0
"19698",0
"19725",0
"19744",0
"19773",0
"19890",0
"19892",0
"19946",0
"19948",0
"19950",0
"20109",0
"20141",0
"20659",1
"20726",0
"22030",0
"22037",0
"22062",0
"22942",0
"23051",0
"23054",0
"23162",0
"24022",0
"24116",0
"24119",0
"24123",0
"24126",0
"24619",1
"25790",0
"26757",0
"26760",0
"26849",0
"26887",1
"26937",0
"26969",0
"27044",0
"27119",0
"27126",0
"27176",0
"27181",0
"27223",0
"27232",0
"27244",0
"27277",0
"27284",0
"27294",0
"27300",0
"27344",0
"27369",0
"27377",0
"27378",0
"27387",0
"27391",0
"27431",0
"27432",0
"27546",0
"27931",0
"28487",0
"28496",0
"33556",0
"33602",0
"33606",0
"33666",0
"33667",0
"33691",0
"33710",0
"33767",0
"33908",0
"33912",0
"33983",0
"33984",0
"34002",0
"34011",0
"34025",0
"34090",0
"34094",0
"34113",0
"34157",0
"34204",0
"34467",0
"34502",0
"34509",0
"34535",0
"34553",0
"34610",0
"34620",0
"35073",0
"35085",0
"35088",0
"35092",0
"35098",0
"35351",1
"35540",0
"35666",0
"35728",0
"36712",0
"36719",0
"36741",0
"37329",0
"37471",1
"37477",0
"39274",0
"39279",0
"39284",0
"39290",0
"39295",0
"39338",0
"39469",0
"40970",0
"41132",0
"41141",0
"41725",0
"42877",1
"42894",1
"43392",1
"43550",1
"43600",1
"44011",1
"44170",0
"44248",0
"44332",0
"44355",0
"44371",1
"45149",1
"45153",1
"45164",1
"45165",1
"45190",1
"45201",1
"45224",1
"48793",0
"48822",0
"48841",0
"49200",0
"49291",0
"49296",0
"49333",0
"49341",0
"49586",0
